Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-12-24 00:00:00-05:00,9.985861778259277,9.985861778259277,9.985861778259277,9.985861778259277,200,0.0,0.0
2012-12-26 00:00:00-05:00,9.985861778259277,9.985861778259277,9.985861778259277,9.985861778259277,0,0.0,0.0
2012-12-27 00:00:00-05:00,9.885958125071445,9.885958125071445,9.848495483398438,9.848495483398438,800,0.0,0.0
2012-12-28 00:00:00-05:00,9.848495483398438,9.848495483398438,9.848495483398438,9.848495483398438,0,0.0,0.0
2012-12-31 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,200,0.0,0.0
2013-01-02 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-03 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-04 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-07 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-08 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-09 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-10 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-11 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-14 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-15 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-16 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-17 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-18 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-22 00:00:00-05:00,9.948396456400207,9.990021705627441,9.948396456400207,9.990021705627441,600,0.0,0.0
2013-01-23 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-24 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-25 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-28 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-29 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-30 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-01-31 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-01 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-04 00:00:00-05:00,9.990024486492672,9.990024486492672,9.86514949798584,9.86514949798584,3400,0.0,0.0
2013-02-05 00:00:00-05:00,9.86514949798584,9.86514949798584,9.86514949798584,9.86514949798584,0,0.0,0.0
2013-02-06 00:00:00-05:00,9.86514949798584,9.86514949798584,9.86514949798584,9.86514949798584,0,0.0,0.0
2013-02-07 00:00:00-05:00,9.86514949798584,9.86514949798584,9.86514949798584,9.86514949798584,0,0.0,0.0
2013-02-08 00:00:00-05:00,9.86514949798584,9.86514949798584,9.86514949798584,9.86514949798584,0,0.0,0.0
2013-02-11 00:00:00-05:00,9.86514949798584,9.86514949798584,9.86514949798584,9.86514949798584,0,0.0,0.0
2013-02-12 00:00:00-05:00,9.969209477981622,9.990021705627441,9.969209477981622,9.990021705627441,600,0.0,0.0
2013-02-13 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-14 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-15 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-19 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,800,0.0,0.0
2013-02-20 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-21 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-22 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-25 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-26 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-27 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-02-28 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-01 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-04 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-05 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-06 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-07 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-08 00:00:00-05:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-11 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-12 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-13 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-14 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-15 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-18 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-19 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-20 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-21 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-22 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-25 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-26 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-27 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-03-28 00:00:00-04:00,9.990021705627441,9.990021705627441,9.990021705627441,9.990021705627441,0,0.0,0.0
2013-04-01 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,800,0.0,0.0
2013-04-02 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,0,0.0,0.0
2013-04-03 00:00:00-04:00,10.135712188769745,10.198149681091309,10.135712188769745,10.198149681091309,1000,0.0,0.0
2013-04-04 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,0,0.0,0.0
2013-04-05 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,0,0.0,0.0
2013-04-08 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,0,0.0,0.0
2013-04-09 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,0,0.0,0.0
2013-04-10 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,0,0.0,0.0
2013-04-11 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,0,0.0,0.0
2013-04-12 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,0,0.0,0.0
2013-04-15 00:00:00-04:00,10.198149681091309,10.198149681091309,10.198149681091309,10.198149681091309,0,0.0,0.0
2013-04-16 00:00:00-04:00,10.239773750305176,10.239773750305176,10.239773750305176,10.239773750305176,400,0.0,0.0
2013-04-17 00:00:00-04:00,10.239773750305176,10.239773750305176,10.239773750305176,10.239773750305176,0,0.0,0.0
2013-04-18 00:00:00-04:00,10.239773750305176,10.239773750305176,10.239773750305176,10.239773750305176,0,0.0,0.0
2013-04-19 00:00:00-04:00,10.260587692260742,10.260587692260742,10.260587692260742,10.260587692260742,400,0.0,0.0
2013-04-22 00:00:00-04:00,9.885958979527155,9.990021705627441,9.885958979527155,9.990021705627441,16000,0.0,0.0
2013-04-23 00:00:00-04:00,10.260587692260742,10.260587692260742,10.260587692260742,10.260587692260742,200,0.0,0.0
2013-04-24 00:00:00-04:00,10.260587692260742,10.260587692260742,10.260587692260742,10.260587692260742,5600,0.0,0.0
2013-04-25 00:00:00-04:00,10.260587692260742,10.260587692260742,10.260587692260742,10.260587692260742,0,0.0,0.0
2013-04-26 00:00:00-04:00,10.260587692260742,10.260587692260742,10.260587692260742,10.260587692260742,0,0.0,0.0
2013-04-29 00:00:00-04:00,10.260587692260742,10.260587692260742,10.260587692260742,10.260587692260742,0,0.0,0.0
2013-04-30 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,1000,0.0,0.0
2013-05-01 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,0,0.0,0.0
2013-05-02 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,0,0.0,0.0
2013-05-03 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,0,0.0,0.0
2013-05-06 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,0,0.0,0.0
2013-05-07 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,0,0.0,0.0
2013-05-08 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,0,0.0,0.0
2013-05-09 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,0,0.0,0.0
2013-05-10 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,0,0.0,0.0
2013-05-13 00:00:00-04:00,10.406274795532227,10.406274795532227,10.406274795532227,10.406274795532227,0,0.0,0.0
2013-05-14 00:00:00-04:00,10.510338621167133,11.234615325927734,10.510338621167133,11.234615325927734,1600,0.0,0.0
2013-05-15 00:00:00-04:00,11.238774299621582,11.238774299621582,11.238774299621582,11.238774299621582,200,0.0,0.0
2013-05-16 00:00:00-04:00,11.238774299621582,11.238774299621582,11.238774299621582,11.238774299621582,0,0.0,0.0
2013-05-17 00:00:00-04:00,11.238774299621582,11.238774299621582,11.238774299621582,11.238774299621582,0,0.0,0.0
2013-05-20 00:00:00-04:00,11.238774299621582,11.238774299621582,11.238774299621582,11.238774299621582,0,0.0,0.0
2013-05-21 00:00:00-04:00,11.238774299621582,11.238774299621582,11.238774299621582,11.238774299621582,0,0.0,0.0
2013-05-22 00:00:00-04:00,11.238774299621582,11.238774299621582,11.238774299621582,11.238774299621582,0,0.0,0.0
2013-05-23 00:00:00-04:00,11.238774299621582,11.238774299621582,11.238774299621582,11.238774299621582,0,0.0,0.0
2013-05-24 00:00:00-04:00,11.238774299621582,11.238774299621582,11.238774299621582,11.238774299621582,0,0.0,0.0
2013-05-28 00:00:00-04:00,11.238774299621582,11.238774299621582,11.238774299621582,11.238774299621582,0,0.0,0.0
2013-05-29 00:00:00-04:00,11.267987251281738,11.267987251281738,11.267987251281738,11.267987251281738,0,0.035,0.0
2013-05-30 00:00:00-04:00,11.267990725381035,11.685323715209961,11.267990725381035,11.685323715209961,400,0.0,0.0
2013-05-31 00:00:00-04:00,11.685323715209961,11.685323715209961,11.685323715209961,11.685323715209961,0,0.0,0.0
2013-06-03 00:00:00-04:00,11.685323715209961,11.685323715209961,11.685323715209961,11.685323715209961,0,0.0,0.0
2013-06-04 00:00:00-04:00,11.685323715209961,11.685323715209961,11.685323715209961,11.685323715209961,0,0.0,0.0
2013-06-05 00:00:00-04:00,11.685323715209961,11.685323715209961,11.685323715209961,11.685323715209961,0,0.0,0.0
2013-06-06 00:00:00-04:00,11.685323715209961,11.685323715209961,11.685323715209961,11.685323715209961,0,0.0,0.0
2013-06-07 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,400,0.0,0.0
2013-06-10 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-11 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-12 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-13 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-14 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-17 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-18 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-19 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-20 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-21 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-24 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-25 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-26 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-27 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-06-28 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-07-01 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-07-02 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-07-03 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-07-05 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-07-08 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-07-09 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-07-10 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-07-11 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
2013-07-12 00:00:00-04:00,11.789655685424805,11.789655685424805,11.789655685424805,11.789655685424805,0,0.0,0.0
